company,code,subcode,במלאי,amount,description,price ,סהכ,category,subcategory,izo,grade,currency
DIJET,NMHEP08-0040,XDMW 080620ZTR   (PVD)            JC8050,40,20,לוחית כרסום DIJET מצופה  משובעת (7 צלעות),14.81, ₪  296.20 ,other,,,,ILS
DIJET,NMIEP10-0220,YPHW 100308ZER-1.5  (CERMET)        CX75,110,110,לוחית ימנית high feed milling לפלדה CERMET,17.59," ₪  1,934.90 ",other,,,,ILS
DIJET,NMIEP10-0200,YPHW 100308ZER-15   (PVD)         JC6102,50,10,לוחית ימנית high feed milling לפלדה מחוסמת,22.37, ₪  223.70 ,other,,,,ILS
DIJET,NMIZC10-0060,ZCMT 100308R                      JC5015,50,50,לוחית ימנית לכרסום/שיקוע,18.59, ₪  929.50 ,other,,,,ILS
DIJET,NMIZC10-0050,ZCMT 100308R                      JC5040,30,70,לוחית ימנית לכרסום/שיקוע,16.83," ₪  1,178.10 ",other,,,,ILS
DIJET,NMIZC10-0070,ZCMT 100308RP  (POLISHED)           FZ15,37,37,לוחית כרסום מלוטשת ל-SICM/SECM,17.33, ₪  641.21 ,other,,,,ILS
DIJET,NMIZD10-0060,ZDMT 100308L                      JC5015,20,50,לוחית ימנית לכרסום/שיקוע,18.59, ₪  929.50 ,other,,,,ILS
DIJET,NMIZD10-0070,ZDMT 100308LP  (POLISHED)           FZ15,20,20,לוחית כרסום מלוטשת ל-SICM/SECM,15.13, ₪  302.60 ,other,,,,ILS
DIJET,NMIZD13-0050,ZDMT 13T308L                      JC5040,70,50,לוחית שמאלית לכרסום/שיקוע,16.67, ₪  833.50 ,other,,,,ILS
DIJET,NMIZD13-0090,ZDMT 13T308LP  (POLISHED)           FZ15,10,20,לוחית כרסום מלוטשת ל-SICM/SECM,18.32, ₪  366.40 ,other,,,,ILS
DIJET,NMIZD13-0090,ZDMT 13T308RP  (POLISHED)           FZ15,10,10,לוחית כרסום מלוטשת ל-SICM/SECM,18.32, ₪  183.20 ,other,,,,ILS
DIJET,NMIZD13-0070,ZDMT 13T320L                      JC5040,30,10,לוחית שמאלית לכרסום/שיקוע,18.08, ₪  180.80 ,other,,,,ILS
DIJET,NMIZD13-0100,ZDMT 13T320LP  (POLISHED)           FZ15,10,10,לוחית כרסום מלוטשת ל-SICM/SECM,18.32, ₪  183.20 ,other,,,,ILS
DIJET,NMIZO06-0110,ZOMT 060202ZER   (PVD)            JC8050,20,20,לוחית ימנית high feed milling,13.87, ₪  277.40 ,other,,,,ILS
DIJET,NMIZO06-0160,ZOMT 060204ZER   (PVD)            JC8050,70,50,לוחית ימנית high feed milling,13.54, ₪  677.00 ,other,,,,ILS
DIJET,NMIZO06-0210,ZOMT 060208ZER   (PVD)            JC8050,10,10,לוחית ימנית high feed milling,0, ₪  -   ,other,,,,ILS
DIJET,NMIZP10-0200,ZPMT 100304ZER                    JC5118,20,90,לוחית ימנית לכרסום,15.85," ₪  1,426.50 ",other,,,,ILS
DIJET,NMIZP10-0250,ZPMT 100304ZER                    JC8050,40,100,לוחית ימנית לכרסום,16.94," ₪  1,694.00 ",other,,,,ILS
DIJET,NMIZP10-0210,ZPMT 100308ZER                    JC5118,20,10,לוחית ימנית לכרסום,16.94, ₪  169.40 ,other,,,,ILS
DIJET,NMIZP13-0105,ZPMT 13T308R                      JC5015,40,60,לוחית ימנית לכרסום/שיקוע,18.1," ₪  1,086.00 ",other,,,,ILS
DIJET,NMIZP13-0100,ZPMT 13T308R                      JC5040,70,20,לוחית ימנית לכרסום/שיקוע,17.88, ₪  357.60 ,other,,,,ILS
DIJET,NMIZP13-0210,ZPMT 13T308RP  (POLISHED)           FZ15,40,60,לוחית כרסום מלוטשת ל-SICM/SECM,18.32," ₪  1,099.20 ",other,,,,ILS
DIJET,NMIZP13-0200,ZPMT 13T320R                      JC5040,40,20,לוחית ימנית לכרסום/שיקוע,13.82, ₪  276.40 ,other,,,,ILS
DIJET,NMIZP13-0230,ZPMT 13T320RP  (POLISHED)           FZ15,20,20,לוחית כרסום מלוטשת ל-SICM/SECM,18.32, ₪  366.40 ,other,,,,ILS
DIJET,NMIZP16-0060,ZPMT 160408L                      JC5015,30,20,לוחית שמאלית לכרסום/שיקוע,19.35, ₪  387.00 ,other,,,,ILS
DIJET,NMIZP16-0050,ZPMT 160408L                      JC5040,30,20,לוחית שמאלית לכרסום/שיקוע,20.52, ₪  410.40 ,other,,,,ILS
DIJET,NMIZP16-0105,ZPMT 160408R                      JC5015,60,90,לוחית ימנית לכרסום/שיקוע,19.35," ₪  1,741.50 ",other,,,,ILS
DIJET,NMIZP16-0100,ZPMT 160408R                      JC5040,10,20,לוחית ימנית לכרסום/שיקוע,0, ₪  -   ,other,,,,ILS
DIJET,NMIZP16-0150,ZPMT 160408RP  (POLISHED)           FZ15,10,30,לוחית כרסום מלוטשת ל-SICM/SECM,18.28, ₪  548.40 ,other,,,,ILS
DIJET,,ADMT100308PDER       JC5118,,90,,€3.79,€341.10,other,,,,EUR
DIJET,,ADMT100308PDER       JC8050,,50,,€3.79,€189.50,other,,,,EUR
DIJET,,ADMT100316PDER       JC5118,,100,,€0.00,€0.00,other,,,,EUR
DIJET,,ADMT100316PDER       JC8015,,100,,€0.00,€0.00,other,,,,EUR
DIJET,,ADMT100316PDER       JC8050,,130,,€0.00,€0.00,other,,,,EUR
DIJET,,APKT 1604PDR-08                   JC5118,,40,,€0.00,€0.00,other,,,,EUR
DIJET,,APKT 1604PDR-08                   JC8050,,6,,€0.00,€0.00,other,,,,EUR
DIJET,,APMT160408PDER       JC5118,,80,,€0.00,€0.00,other,,,,EUR
DIJET,,APMT160408PDER       JC8015,,60,,€0.00,€0.00,other,,,,EUR
DIJET,,APMT160408PDER       JC8050,,140,,€0.00,€0.00,other,,,,EUR
DIJET,,APMT160416PDER       JC8050,,22,,€0.00,€0.00,other,,,,EUR
DIJET,,BNM-060-SS                           DH108,,8,,€0.00,€0.00,other,,,,EUR
DIJET,,BNM-080                                  DH103,,2,,€0.00,€0.00,other,,,,EUR
DIJET,,BNM-080-SS                           DH108,,6,,€0.00,€0.00,other,,,,EUR
DIJET,,BNM-100-SS                           DH108,,10,,€0.00,€0.00,other,,,,EUR
DIJET,,BNM-120                                 DH103,,2,,€0.00,€0.00,other,,,,EUR
DIJET,,BNM-120-S                             FZ05,,2,,€0.00,€0.00,other,,,,EUR
DIJET,,BNM-120-SS                           DH108,,24,,€0.00,€0.00,other,,,,EUR
