WINSTAR,EPSSVC 508000AX..20C*60L,,2,,0
WINSTAR,EPSSVC 510000AX...75L,,2,,0
WINSTAR,EPSSVE 410102AX...75L*1R,,2,,0
WINSTAR,ESSSVA 4080011SX 60L*0.15C,,2,,0
WINSTAR,ESSSVB 4080011SX.60L*0.15C,,2,,0
WINSTAR,ESSSVC 4080011SX.60L*0.15C,,2,,0
WINSTAR,ESSSVD 4080052SX 60L*0.5R,,2,,0
WINSTAR,ISWMEB12100062 12*M6*100L*60EL,,1,,0
WINSTAR,LOMX030310 MG-CX33TX,,80,,0
WINSTAR,LOMX030310 MG-CX43TX,,50,,0
WINSTAR,LPGX0102 CX33TX,,60,,0
WINSTAR,LPGX0102 CX43TX,,40,,0
WINSTAR,LPGX0102 MG-CX33TX,,10,,0
WINSTAR,LPGX0102 MG-CX43TX,,10,,0
WINSTAR,ONMX0505 RG-CX33TX,,40,,0
WINSTAR,RDMT1003MOE CX43TX,,30,,0
WINSTAR,SDMT1205ZDTN MG-CX43TX,,10,,0
WINSTAR,SDNW1205ZDTN RG-CX23TX,,10,,0
WINSTAR,SDNW1205ZDTN RG-CX33TX,,60,,0
WINSTAR,SEET 13T3AGFN  AL-CX10,,10,,0
WINSTAR,SEET13T3AGFN FG-CX22HX,,30,,0
WINSTAR,SEET13T3AGFN RG-CX22TX,,20,,0
WINSTAR,SEET13T3AGFN RG-CX43TX,,50,,0
WINSTAR,SNMX1205 MG-CX43TX,,30,,0
WINSTAR,SNMX1205 RG-CX33TX,,60,,0
WINSTAR,SNMX1205 RG-CX33TX,,10,,0
WINSTAR,TNMG160408 SM-CX2545,,30,,0
WINSTAR,TNMG160408L ME-CX2560,,30,,0
WINSTAR,TNMG160408R ME-CX2560,,30,,0
WINSTAR,WNMG080404 MP-CX2545,,50,,0
WINSTAR,WNMG080404 SP-CC7015,,100,,0
WINSTAR,WNMG080404 SP-CX2545,,100,,0
WINSTAR,WNMG080408 FP-CX2545,,50,,0
WINSTAR,WNMG080408 MP-CC7025,,130,,0
WINSTAR,WNMG080408 MP-CX2545,,70,,0
WINSTAR,WNMG080408 MP-CX2575,,100,,0
WINSTAR,WNMG080408 MP-CX3545,,50,,0
WINSTAR,WNMG080408 MP-CX3575,,70,,0
WINSTAR,WNMG080408 RP-CX2560,,50,,0
WINSTAR,WNMG080412 HG-CX3560,,10,,0
WINSTAR,WNMG080412 MP-CX2545,,70,,0
WINSTAR,WNMG080412 MP-CX3545,,30,,0
WINSTAR,XNMX040308 MG-CX33TX,,30,,0
WINSTAR,XNMX080608 RG-CX33TX,,30,,0
WINSTAR,XNMX080608 RG-CX43TX,,30,,0
WINSTAR,XNX040308 MG-CX23TX,,50,,0
WINSTAR,XNX040308 MG-CX33TX,,50,,0
WINSTAR,XNX040308 MG-CX43TX,,50,,0
WINSTAR,XOMT060208 MG-CX23TX,,80,,0
WINSTAR,XOMT060208 MG-CX33TX,,70,,0
WINSTAR,XOMT060208 MG-CX43TX,,50,,0
WINSTAR,XOMT10T308 SG-CX43TX,,2,,0
WINSTAR,XOMT10T308 SG-CX43TX,,10,,0
