#,,,,,
ספק ראשי,קוד פריט,תאור פריט,ספירה מעודכנת,תאור לועזי,עלות 
ALLIED,NDTB280-0010,#152T-28-FB              CPM-T15+TIN/PVD,4,"להב קידוח שטוח מצופה, דגם T-A",114.91
ALLIED,NDTB300-0010,#152T-30-FB              CPM-T15+TIN/PVD,6,"להב קידוח שטוח מצופה, דגם T-A",114.91
ALLIED,NDTB320-0010,#152T-32-FB              CPM-T15+TIN/PVD,6,"להב קידוח שטוח מצופה, דגם T-A",117.85
ALLIED,NDTB350-0010,#152T-35-FB   (35.00)    CPM-T15+TIN/PVD,6,"להב קידוח שטוח מצופה, דגם T-A",119.31
ALLIED,NDTH430-0010,#153T-43.0              CPM- T15+TIN/PVD,2,"להב קידוח, דגם HSSCO,T-A מצופה",37.18
ALLIED,NDTH119-0010,#15ZA-0015 (11.91)     CPM-T15+TIALN/PVD,6,"להב קידוח, דגם HSSCO,T-A מצופה",0
ALLIED,NDTH120-0015,#15ZT-12-FB             CPM- T15+TIN/PVD,6,"להב קידוח, דגם HSS  ,T-A מצופה",89.47
ALLIED,NDTH147-0011,#180A-.578  (14.68)        M48+TIALN/PVD,6,"להב קידוח, דגם HSS  ,T-A מצופה",76.78
ALLIED,NDTH143-0020,#180A-0018  (14.27)        M48+TIALN/PVD,2,"להב קידוח, דגם HSS  ,T-A מצופה",71.61
ALLIED,NDTH151-0020,#180A-0019  (15.08)        M48+TIALN/PVD,4,"להב קידוח, דגם HSS  ,T-A מצופה",72.86
ALLIED,NDTH159-0020,#180A-0020  (15.87)        M48+TIALN/PVD,2,"להב קידוח, דגם HSS  ,T-A מצופה",73.27
ALLIED,NDTH145-0030,#180A-14.5                 M48+TIALN/PVD,6,"להב קידוח, דגם HSSCO,T-A מצופה",87.11
ALLIED,NDTH150-0020,#180A-15.0                 M48+TIALN/PVD,2,"להב קידוח, דגם HSS  ,T-A מצופה",94.23
ALLIED,NDTH155-0020,#180A-15.5                 M48+TIALN/PVD,4,"להב קידוח, דגם HSS  ,T-A מצופה",73.24
